COSMETIC_REPORT_SEQ,ITEM_NAME,ENTP_NAME,report_date
2014002231,수려한자단비책선크림,(주)엘지생활건강,2014-03-05 00:00:00
2013000485,비욘드키즈에코선크림,(주)엘지생활건강,2013-01-03 00:00:00
2013000489,비욘드피토가닉선크림,(주)엘지생활건강,2013-01-03 00:00:00
2013000548,수려한예하선크림,(주)엘지생활건강,2013-01-03 00:00:00
2014007073,샤라샤라페어리스메이크업시너지선크림,(주)카버코리아,2014-06-19 00:00:00
2014011345,히라스네이쳐오일프리선크림,주식회사더제냐코스메틱,2014-10-21 00:00:00
2013000553,수려한비책자단선크림홍,(주)엘지생활건강,2013-01-03 00:00:00
2013000556,수려한비책자단선크림,(주)엘지생활건강,2013-01-03 00:00:00
2013001043,비에타포맨토탈파워선크림,(주)마임,2013-01-07 00:00:00
2015005264,스템시크릿골드스킨리바이탈라이징선크림,(주)미래셀바이오,2015-04-14 00:00:00
2013001080,네이처리퍼블릭유브이락플라워마일드선크림,(주)네이처리퍼블릭,2013-01-08 00:00:00
2013001161,이자녹스씨케이선케어365어드밴스드선크림,(주)엘지생활건강,2013-01-08 00:00:00
2013001165,이자녹스선케어365어드밴스드선크림,(주)엘지생활건강,2013-01-08 00:00:00
2015015462,보나메두사알피틴티드선크림,보나메두사,2015-11-25 00:00:00
2016003977,수려한비책진생선크림,(주)엘지생활건강,2016-03-30 00:00:00
2013001202,더히스토리오브후공진향해윤선크림에스피에프50플러스,(주)엘지생활건강,2013-01-08 00:00:00
2013001284,비에타선케어바디선크림에스피에프50+피에이+++,(주)마임,2013-01-08 00:00:00
2013001394,유브이선셋데일리선크림,(주)토니모리,2013-01-08 00:00:00
2016009920,휘향주름개선크림,(주)오브이코스(OVCOS),2016-07-21 00:00:00
2016011854,세라마이드개선크림,수랩,2016-11-28 00:00:00
2016013249,루지스운구엔뚬프리미엄주름개선크림,주식회사벨라비타,2016-09-30 00:00:00
2016015399,닥터영유브이컷앤울트라라이트선크림,(주)티디씨,2016-11-14 00:00:00
2013001537,네이처리퍼블릭유브이락플라워키즈앤주니어선크림,(주)네이처리퍼블릭,2013-01-10 00:00:00
2013001539,네이처리퍼블릭유브이락플라워3-프루프선크림,(주)네이처리퍼블릭,2013-01-10 00:00:00
2013002242,효연자양미하선크림,(주)웰코스,2013-01-15 00:00:00
2016017376,히라스네이처오일프리선크림,주식회사더제냐코스메틱,2016-12-23 00:00:00
2013002246,효연자양미하아이선크림,(주)웰코스,2013-01-15 00:00:00
2013002453,네이처리퍼블릭비베놈선크림,(주)네이처리퍼블릭,2013-01-16 00:00:00
2013002745,프라임가드페이스선크림,쏘내추럴(주),2013-01-16 00:00:00
2017006655,달기선크림,(주)바이오코스텍,2017-05-22 00:00:00
2017007486,코코앤코아보카도화이트광채선크림,(주)에코자임,2017-05-31 00:00:00
2017020900,프레스킨썬샤인선크림에스피에프50+피에이+++,(주)켐코,2017-10-25 00:00:00
2013002764,네이처리퍼블릭유브이락플라워데일리파워풀선크림,(주)네이처리퍼블릭,2013-01-16 00:00:00
2013002798,세이온더바디패밀리앤바디선크림,(주)엘지생활건강,2013-01-16 00:00:00
2013002826,세이온더바디퍼펙트아웃도어선크림,(주)엘지생활건강,2013-01-16 00:00:00
2018012656,내츄럴톤업선크림,주식회사에버루파랩,2018-07-20 00:00:00
2018014984,더메이런유브이디펜스하이프로텍션선크림,제이웨이아이엔티주식회사,2018-09-03 00:00:00
2018016728,제이부띠선크림,(주)바이오솔루션,2018-10-10 00:00:00
2018020233,닥터리오브나미백주름개선크림,(주)엔제이와이생명공학,2018-12-14 00:00:00
2019005954,리브코이스트롱쉴드선크림,제이인터네셔널(J International),2019-04-02 00:00:00
2013002838,세이온더바디토탈케어비비선크림,(주)엘지생활건강,2013-01-16 00:00:00
2013002860,비욘드맥스라이트데일리선크림,(주)엘지생활건강,2013-01-16 00:00:00
2013002872,"비욘드오,마이!선크림",(주)엘지생활건강,2013-01-16 00:00:00
2019008414,디오프러스휘향주름개선크림,(주)오브이코스(OVCOS),2019-05-13 00:00:00
2013002907,키즈웰마일드선크림,풀무원건강생활(주),2013-01-16 00:00:00
2013003309,라비다선솔루션쿨링선크림팩트아이알에프25,(주)코리아나화장품,2013-01-18 00:00:00
2013003387,샤라샤라선가드패밀리선크림,(주)카버코리아,2013-01-19 00:00:00
2020006886,미키움안티유브이선크림,송죽화장품,2020-04-21 00:00:00
2020009423,결알파프로텍션선크림,(주)오베라,2020-06-04 00:00:00
2021010700,청정매직에프포글라브리딘플러스선크림,한스텍(주),2021-03-10 00:00:00
2013003425,아름연데일리유브이디펜스선크림,(주)신안코스메틱,2013-01-21 00:00:00
2013003451,텐세컨즈하이드레이팅선크림,(주)코리아나화장품,2013-01-21 00:00:00
2013003462,인텐시브케어마일드선크림,(주)네오팜,2013-01-21 00:00:00
2022006882,물들임프리미엄바이옴선크림,(주)물들임,2022-04-14 00:00:00
