topic_id,commerce_groups,products_rated,positive_rate_mean,positive_rate_median,youtube_rank_comment,youtube_composition_pct,youtube_gap_pp,youtube_trend_type,reading
발림성,발림성,2,82.4,82.4,8,5.43,-0.43,채널 확산,만족도 높고 갭 작음 · 포화
자극_눈시림,자극도,2,79.0,79.0,4,12.39,5.29,지속 인기,소비자 불만 실재 · 제품 공백 근거 강화
