term,video_documents,comment_documents,video_keyness,comment_keyness
리뷰도,5,109,6.23,0.86
햇빛,11,91,6.23,2.67
물놀이,5,36,6.23,3.18
순서대로,56,63,6.16,1.73
외출,12,76,6.13,2.46
미친듯,6,49,6.05,1.14
미친듯이,6,45,6.05,1.18
아이디어,6,41,6.05,1.2
꿀팁도,6,34,6.05,1.15
dasique,93,12,6.02,3.24
브이컷,44,3,5.99,1.99
라운드랩,112,204,5.98,2.94
missha,53,10,5.96,2.29
뷰러,86,52,5.94,2.03
밀리는,7,37,5.93,2.56
퍼플,26,53,5.6,5.85
각질이,8,73,5.84,0.82
소나무,53,244,5.84,2.15
발랐을,8,52,5.84,1.89
발랐,8,53,5.84,1.84
tag,27,21,5.81,3.92
라스트,67,10,5.78,2.29
오토,58,9,5.78,3.12
라보에이치,19,33,5.76,1.37
last,42,4,5.72,1.25
노출의무없음,61,46,5.64,3.08
어성초,118,153,5.61,1.08
투에이엔,27,18,5.59,1.28
화알못,13,27,5.59,1.79
calming,54,2,5.59,1.25
필링젤,13,37,5.59,1.66
쿨링앰플,3,37,5.19,5.57
에스네이처,136,267,5.55,1.16
한올,31,11,5.53,2.99
단순선물,63,49,5.53,2.9
stick,67,2,5.51,1.87
역시나,16,68,5.51,1.1
화장하면서,2,67,3.89,5.47
디파이닝,59,37,5.46,3.06
후니언마켓,44,61,5.43,1.74
노워시,22,22,5.42,2.39
후니언즈,23,81,5.41,2.22
미샤,71,240,5.41,1.75
하단에,54,49,5.38,3.67
닥터지,54,157,5.38,2.25
아쿠아,190,142,5.3,1.68
디자이닝,28,16,4.3,5.3
프레쉬,45,28,5.3,1.95
비건,143,107,5.26,2.47
쿨링,124,247,5.23,2.75
컨실,38,14,5.19,2.49
신뢰도,1,41,5.19,0.97
연주님,0,74,5.19,0.87
형님,0,471,5.19,2.47
오찬님,0,88,5.19,0.86
좋아여,0,98,5.19,1.29
부탁드려,1,66,5.19,1.2
얻고,3,58,5.19,1.35
수부지라,0,46,5.19,0.97
여쭤봅니다,0,49,5.19,1.21
후니언님이랑,0,43,5.19,2.55
예쁘네요,0,57,5.19,0.42
궁금,0,52,5.19,0.96
언니를,0,57,5.19,1.27
보고있습니다,0,40,5.19,0.71
이거다,1,43,5.19,1.04
행님,0,45,5.19,1.76
어떤걸,2,90,5.19,1.0
겨울에도,4,56,5.19,1.54
있을까용,0,52,5.19,0.7
구독했어요,0,41,5.19,1.01
써보고싶어요,0,130,5.19,0.81
구매합니다,1,94,5.19,0.85
선한,0,46,5.19,4.51
엉니,0,132,5.19,1.45
알고싶어요,0,41,5.19,0.87
화장할때,0,101,5.19,2.14
싶어졌어요,0,46,5.19,1.22
믿고보는,0,89,5.19,0.98
고민입니다,0,67,5.19,1.27
자냥이들의,22,24,5.19,3.28
둘중,0,42,5.19,0.9
프리따님,0,153,5.19,1.25
유용해요,0,54,5.19,1.21
밀크터치,32,24,5.19,0.63
최고예요,0,69,5.19,0.95
tone,142,19,5.19,1.78
기대되요,0,168,5.19,1.03
홀린듯이,0,64,5.19,1.18
보자마자,1,132,5.19,0.77
찾고있었는데,0,64,5.19,1.17
딱일,0,47,5.19,1.11
유익해요,0,53,5.19,1.15
제나님,0,259,5.19,1.43
분이,2,67,5.19,1.12
온그리디언츠,18,30,5.19,1.52
썼었는데,0,53,5.19,0.7
같아여,0,43,5.19,0.76
토너도,2,38,5.19,0.91
존버,2,54,5.19,1.11
진짜루,2,41,5.19,1.31
탐나네요,0,46,5.19,1.22
vegan,43,0,5.19,1.25
있으실까요,0,77,5.19,0.85
하구,0,45,5.19,1.19
유투브,0,40,5.19,0.8
컨실러로,5,40,5.19,1.23
궁금해용,0,131,5.19,0.89
잇레티놀,0,40,5.19,1.18
써봐야겠어요,0,113,5.19,0.72
스완님,0,1062,5.19,2.45
